,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
442,4022154443,Morning Walk,2020-09-06T08:22:45Z,Walk,7403.5,5432,5880,121.2,"[37.793639, -122.43928]",garmin_push_5497662745
443,4021907336,Morning Run,2020-09-05T09:18:05Z,Run,8338.9,2806,3220,68.1,"[37.766532, -122.480417]",garmin_push_5497420114
444,4012447450,Afternoon Run,2020-09-04T16:23:52Z,Run,5261.7,1803,1982,38.0,"[37.767396, -122.458782]",garmin_push_5488220554
445,4012446540,Afternoon Run,2020-09-04T16:20:17Z,Run,409.9,80,80,0.0,"[37.766488, -122.455528]",garmin_push_5488219770
446,4012446495,Afternoon Run,2020-09-04T16:05:22Z,Run,1206.9,254,342,0.0,"[37.766444, -122.455505]",garmin_push_5488219681
447,4012446364,Afternoon Run,2020-09-04T15:28:49Z,Run,1758.1,597,600,0.0,"[37.766321, -122.455906]",garmin_push_5488219547
448,4012446122,Morning Run,2020-09-03T07:24:00Z,Run,4770.6,1915,2700,109.5,"[37.793603, -122.439304]",garmin_push_5488219273
449,4012445219,Afternoon Run,2020-09-02T15:25:32Z,Run,6453.3,2236,2568,99.8,"[37.800961, -122.457562]",garmin_push_5488218451
450,4012444212,Morning Walk,2020-09-02T08:31:03Z,Walk,1316.4,1002,1002,29.3,"[37.79367, -122.439198]",garmin_push_5488217732
451,3998716815,Afternoon Run,2020-09-01T16:27:56Z,Run,2409.1,907,983,14.8,"[37.767204, -122.457017]",garmin_push_5474049307
452,3998716084,Afternoon Run,2020-09-01T16:22:06Z,Run,375.3,82,82,0.0,"[37.767207, -122.456487]",garmin_push_5474048793
453,3998715985,Afternoon Run,2020-09-01T16:17:17Z,Run,391.8,96,96,0.0,"[37.7672, -122.45648]",garmin_push_5474048724
454,3998715909,Afternoon Run,2020-09-01T16:12:32Z,Run,406.0,97,97,0.0,"[37.767182, -122.456485]",garmin_push_5474048649
455,3998715816,Afternoon Run,2020-09-01T16:08:37Z,Run,386.1,97,102,0.0,"[37.767185, -122.456469]",garmin_push_5474048562
456,3998715740,Afternoon Run,2020-09-01T15:57:41Z,Run,404.2,92,92,0.0,"[37.767222, -122.456446]",garmin_push_5474048467
457,3998715635,Afternoon Run,2020-09-01T15:53:43Z,Run,395.1,97,97,0.0,"[37.76725, -122.456491]",garmin_push_5474048414
458,3998716336,Afternoon Run,2020-09-01T15:50:01Z,Run,386.3,97,97,0.0,"[37.767173, -122.456482]",garmin_push_5474048333
459,3998715433,Afternoon Run,2020-09-01T15:46:06Z,Run,404.9,90,90,0.0,"[37.767189, -122.456498]",garmin_push_5474048254
460,3998715387,Afternoon Run,2020-09-01T15:35:43Z,Run,822.1,236,241,0.0,"[37.766916, -122.456902]",garmin_push_5474048186
461,3998715293,Evening Activity,2020-08-31T19:41:47Z,Workout,737.7,3810,3810,0,,garmin_push_5474048019
462,3998712919,Afternoon Run,2020-08-31T15:25:10Z,Run,6641.5,2100,2246,18.9,"[37.799941, -122.458544]",garmin_push_5474045951
463,3991555661,Morning Walk,2020-08-31T07:32:21Z,Walk,1699.5,1285,1285,41.4,"[37.793469, -122.439292]",garmin_push_5466744158
464,3987783137,20 min Yoga Flow with Ross Rayburn,2020-08-30T09:49:59Z,Yoga,0.0,1199,1199,0,,a69c968f73e14224b61d3dca51bd327b.tcx
465,3987561070,Morning Walk,2020-08-30T08:59:50Z,Walk,2558.1,1990,1990,86.6,"[37.793431, -122.439224]",garmin_push_5462504618
466,3983226391,Morning Run,2020-08-29T09:13:59Z,Run,10183.0,3487,3949,95.6,"[37.770336, -122.47086]",garmin_push_5458486493
467,3983223551,Afternoon Activity,2020-08-28T16:11:40Z,Workout,615.7,1715,1715,0,,garmin_push_5458484069
468,3983222830,Afternoon Run,2020-08-28T15:26:01Z,Run,5322.2,1800,1826,44.6,"[37.806453, -122.447841]",garmin_push_5458482874
469,3983221202,Morning Walk,2020-08-28T07:43:30Z,Walk,1663.1,1415,1459,4.7,"[37.793562, -122.439269]",garmin_push_5458481664
470,3983233845,Morning Run,2020-08-27T06:58:52Z,Run,5225.1,1863,1925,54.1,"[37.793613, -122.439212]",garmin_push_5458494035
471,3983232514,Afternoon Run,2020-08-26T16:24:15Z,Run,1399.1,462,462,4.2,"[37.766881, -122.457443]",garmin_push_5458492794
472,3983232145,Afternoon Run,2020-08-26T16:20:43Z,Run,415.0,88,88,0.0,"[37.767173, -122.456494]",garmin_push_5458492471
473,3983232044,Afternoon Run,2020-08-26T16:14:45Z,Run,578.0,139,144,0.0,"[37.766549, -122.455509]",garmin_push_5458492367
474,3983231904,Afternoon Run,2020-08-26T16:09:29Z,Run,618.9,150,150,3.1,"[37.766669, -122.455704]",garmin_push_5458492235
475,3983231804,Afternoon Run,2020-08-26T16:01:50Z,Run,830.0,208,208,0.0,"[37.76731, -122.456515]",garmin_push_5458492077
476,3983231643,Afternoon Run,2020-08-26T15:56:43Z,Run,822.2,208,208,0.0,"[37.767216, -122.4565]",garmin_push_5458491900
477,3983231508,Afternoon Run,2020-08-26T15:50:44Z,Run,803.3,204,204,0.0,"[37.767152, -122.456464]",garmin_push_5458491729
478,3983231364,Afternoon Run,2020-08-26T15:28:00Z,Run,1825.6,589,599,0.0,"[37.767463, -122.456842]",garmin_push_5458491547
479,3983230931,Morning Walk,2020-08-26T08:08:00Z,Walk,1608.1,1245,1245,29.4,"[37.793571, -122.439266]",garmin_push_5458491106
480,3983230266,Morning Run,2020-08-25T07:22:31Z,Run,5154.2,1837,1846,58.1,"[37.793569, -122.439274]",garmin_push_5458490293
481,3983228979,Afternoon Run,2020-08-24T16:00:25Z,Run,7128.0,2380,2615,2.6,"[37.806343, -122.448088]",garmin_push_5458488986
482,3983227026,Morning Walk,2020-08-24T07:23:55Z,Walk,1656.2,1186,1201,19.3,"[37.79362, -122.439255]",garmin_push_5458487365
483,3983220184,Lunch Activity,2020-08-23T11:13:47Z,Workout,141.8,2155,2155,0,,garmin_push_5458480583
484,3951122112,Morning Run,2020-08-22T09:58:06Z,Run,21243.5,7466,7756,266.2,"[37.800297, -122.453319]",garmin_push_5425069859
485,3945474653,Morning Run,2020-08-21T07:25:55Z,Run,4926.7,1853,1853,117.1,"[37.793602, -122.439247]",garmin_push_5419052415
486,3945481449,Morning Walk,2020-08-20T09:48:33Z,Walk,9708.8,7195,7929,249.1,"[37.793655, -122.439227]",garmin_push_5419058408
487,3942163884,Morning Run,2020-08-19T07:40:44Z,Run,7096.7,2731,2811,132.6,"[37.793502, -122.43923]",garmin_push_5415539416
488,3932611660,HIIT Boxing,2020-08-18T11:56:18Z,Workout,1852.4,1981,1981,0,,garmin_push_5405660185
489,3932609166,Morning Run,2020-08-18T09:21:56Z,Run,4426.9,1621,1629,63.2,"[37.793547, -122.439241]",garmin_push_5405658061
490,3926951693,Morning Run,2020-08-17T09:23:52Z,Run,7074.8,2701,2731,117.6,"[37.79162, -122.450157]",garmin_push_5399824250
491,3922814020,30 min Yoga Flow with Kristin McGee,2020-08-16T09:50:37Z,Workout,0.0,1799,1799,0,,654e28b2b17d4b05bc59ab3555258530.tcx
492,3922830519,Morning Walk,2020-08-16T07:55:57Z,Walk,7280.5,5669,5699,165.0,"[37.793507, -122.439335]",garmin_push_5395419318
493,3922822746,Morning Run,2020-08-15T08:32:48Z,Run,1557.4,532,694,0.0,"[37.936787, -122.526598]",garmin_push_5395411682
494,3922821790,Morning Run,2020-08-14T09:08:20Z,Run,3441.8,1219,1677,112.5,"[37.793629, -122.439282]",garmin_push_5395410711
495,3922820103,Afternoon Run,2020-08-13T14:44:31Z,Run,5352.7,1808,2123,55.9,"[37.798227, -122.442459]",garmin_push_5395408791
496,3902926764,Morning Run,2020-08-12T08:41:25Z,Run,2397.5,628,1249,15.2,"[33.02333, -117.227083]",garmin_push_5375119295
497,3902826096,Morning Run,2020-08-12T08:19:18Z,Run,2590.5,900,1147,30.9,"[33.026133, -117.201415]",garmin_push_5375008828
498,3899661464,Afternoon Activity,2020-08-11T15:21:41Z,Workout,124.9,1319,1319,0,,garmin_push_5371727509
499,3897900753,Morning Run,2020-08-11T07:58:28Z,Run,4505.6,1501,1540,0.0,"[32.952729, -117.266741]",garmin_push_5369956987
500,3893160017,Morning Run,2020-08-10T08:37:33Z,Run,6960.5,2708,3529,92.5,"[33.03678, -117.293536]",garmin_push_5365090840
501,3884162010,Morning Run,2020-08-08T09:10:23Z,Run,14802.8,4776,5333,95.5,"[37.769445, -122.482666]",garmin_push_5355707005
502,3884163388,Morning Run,2020-08-07T09:43:37Z,Run,5332.0,1886,1911,126.5,"[37.793512, -122.439276]",garmin_push_5355708578
503,3874741792,Lunch Run,2020-08-06T11:17:18Z,Run,6773.8,2401,2550,137.0,"[37.791628, -122.449945]",garmin_push_5346085675
504,3874329288,30 min Yoga Flow with Anna Greenberg,2020-08-06T10:22:36Z,Workout,0.0,1799,1799,0,,ad8af86ae579477690463349b81aecad.tcx
505,3869654145,Morning Run,2020-08-05T10:10:45Z,Run,2371.3,890,979,14.6,"[37.767269, -122.456957]",garmin_push_5340886678
506,3869651900,Morning Run,2020-08-05T09:32:50Z,Run,5097.8,1295,1837,0.0,"[37.766555, -122.455497]",garmin_push_5340884473
507,3869649341,Morning Run,2020-08-05T09:12:47Z,Run,2623.1,911,911,14.4,"[37.767187, -122.457086]",garmin_push_5340882075
508,3864365686,Morning Run,2020-08-04T10:40:54Z,Run,6022.8,2101,2117,95.8,"[37.791516, -122.450316]",garmin_push_5335451744
